Politikbereich,Zweck
Sport,Masterplan für Integration: Flüchtlingssport in der Leichtathletik
Sport,Parksport / Laufen in Marzahn
Sport,Kosten für die Beschäftigung von hauptberuflichen Verwaltungskräften in Sportverbänden und -vereinen als Projekt
Wirtschaft,Digitalprämie Berlin
Wirtschaft,Unterstützung der Aufbauphase von Existenzgründungen und Startups
Arbeit,Lohnkostenzuschuss für 100 Prozent UG (haftungsbeschränkt)
Wirtschaft,Realisierungsberatung
Wirtschaft,Automatisierte Flächenrückführung von Vernetzung anatomischer Strukturen
"Kirchen, Religions-, Weltanschauungsgemeinschaften",interreligiöse Werkstatt
"Kirchen, Religions-, Weltanschauungsgemeinschaften",Buchprojekt
Wirtschaft,"Entwicklung und Vermarktung einer Anwendung im Bereich""Data Mining for People Analytics"""
Wirtschaft,"Forschungsarbeiten im Bereich ""Data Mining for PeopleAnalytics"""
Wirtschaft,14 km Film- und Diskussionsreihe 2016
Wirtschaft,"außerschulische Bildung Projekt ""14km de:kolonial"""
Bildung,Jugendforschungsschiff
Wirtschaft,Plug-In-Hybrid
Wirtschaft,"""Traffic Optimizer"", eine innovative Entwicklungsprogrammierung einer IT-Software für Unternehmen und Netzwerke im Online Marketing"
Wirtschaft,"Entwicklung der IT-Software ""Clickshield"" - basierend auf Cloudtechnologien mit dem Ziel von hohen Kosteneinsparungen für Unternehmen im Online Marketing."
Arbeit,Landeszuschuss für KMU - Lohnkostenzuschuss für 2wheels4u GmbH
Wirtschaft,Erforschung und Implementierung emotionstragender linguistischer Strukturen in Produktbeschreibungen
Wirtschaft,"Erforschung und Implementierung von ""Key Facts"" in Produktbeschreibungen"
Wirtschaft,Entwicklung einer technologischen Infrastruktur für innovative Textgenerierung aus Daten des Business Intelligence
Wirtschaft,Erforschung von Algorithmen zur Analyse von Finanzmarktdaten und einer Textgenerierung (B2txt)
Arbeit,Lohnkostenzuschuss für 2wheels4u GmbH
Stadtentwicklung,Nachbarschaftswerkstatt
"Kirchen, Religions-, Weltanschauungsgemeinschaften",Durchführung des 36. Deutschen Evangelischen Kirchentages in Berlin
"Kirchen, Religions-, Weltanschauungsgemeinschaften",Durchführung des 36. Evangelischen Kirchentages in Berlin
"Kirchen, Religions-, Weltanschauungsgemeinschaften","Mitfinanzierung des Regionalen Kulturprogrammes der Landeskirche im Rahmen des 36. Deutschen Evangelischen Kirchentages vom 24.05. bis 28.05.2017 in Berlin, hier: Programmkosten juriertes Programm"
Wirtschaft,Plug-in-Hybrid
Wirtschaft,Erweiterung einer Betriebsstätte
Kultur,Open House 2020 (Atelierhaus am Flutgraben 3) November 2020
Kultur,"Veranstaltungsreihe ""3 AM Das Projekt"""
Wirtschaft,Coaching
Wirtschaft,Messe Integrated Systems Europe 2018 vom 06. - 09.02.2018 in Amsterdam (NL)
Wirtschaft,Messeteilnahme Integrated Systems Europe 2017 vom 07. - 10.02.2017 in Amsterdam (NL)
Wirtschaft,EuroCIS 2019 Düsseldorf vom 19.02.-21.02.2019
Wirtschaft,"Integrated Systems 2019, Amsterdam 5.2.-8.2.2019"
Wirtschaft,Integrated Systems Europe 2020 Amsterdam vom 03.02.-07.02.2020
Wirtschaft,Integrated Systems Europe vom 02. bis 05.02.2021 in Barcelona
Wirtschaft,Natürliche Sprachdialog-Steuerung für Orientierungs- und Wegeleitsysteme
Wirtschaft,"Integrated Systems Europe 2016, 09.02. - 12.02.2016 in Amsterdam"
Wirtschaft,Technologie- und Wissenstransfer
Wirtschaft,Coaching_1
Wirtschaft,Coaching_2
Wirtschaft,Coaching_3
Arbeit,Lohnkostenzuschuss für 3pc GmbH / Neue Kommunikation
Kultur,Plattform der Vernetzung und Solidarität für geschlossene Kultureinrchtungen
Wirtschaft,Produktdesigner/-in zur Implementierung und Umsetzung eines kontinuierlichen Entwicklungsprozesses für digitale Produkte
Wirtschaft,Erweiterte Produkt- und Wachstumsstrategie für die im Bereich der Content-Management-Systeme selbst entwickelten Technologien mit Fokus auf neue Geschäftsprozesse und -modelle
Wirtschaft,Erweiterte Produkt- und Wachstumsstrategie für die im Bereich der Künstlichen Intelligenz selbst entwickelten Technologien im Fokus auf Softwareentwicklung und Beratung
Wirtschaft,Aufbau und ablauforganisatorische Umsetzung eines Controllingsystems
Wirtschaft,Entwicklung und Einführung einer produktbezogenen Kommunikations- und Marketingstrategie im B2B-Bereich
Wirtschaft,Smart 3D-Printing
Wirtschaft,Smart 3D-Printing_74
Wirtschaft,"Entwicklung der Druckbarkeitsanalyse, Plugins, White-Label-Feature und deren Markteinführung"
Wirtschaft,Erforschung einer automatischen 3D-Druckbarkeitsanalyse für mehrfarbige 3D-Modelle
Wirtschaft,Machbarkeitsuntersuchungen aus Sicht des Architekturmodellbaus im 3D-Druckverfahren
Kultur,Atonal 2017
Kultur,"""Atonal 2018"""
Kultur,Berlin Atonal 2018
Kultur,"Projekt ""Atonal 2018"""
Kultur,Berlin Atonal
Kultur,Berlin Atonal 2020
Wirtschaft,"GCCM Europe 2017 in London, vom 21. - 23.02.2017"
Wirtschaft,"ITW 2017 in Chicago/USA, vom 14. - 17.05.2017"
Wirtschaft,"GCCM Europe 2018, London, vom 14. - 15.02.2018"
Wirtschaft,"International Telecoms Week / Euromoney Institutional Investor PLC vom 06. - 09.05.2018, London"
Wirtschaft,"GCCM 2020 London, vom 10.02. bis 11.02.2020"
Wirtschaft,Teilnahme an GCCM Europe 2019/London vom 13. - 14.02.2019
Wirtschaft,"Global Carrier Community Meeting (GCCM), 28.06.-29.06.2016, Berlin"
Wirtschaft,BigData in der Logistik: Multiskale und kombinatorische Optimierungsmethoden (LogiScale)
Wirtschaft,Aufbau und prozessorganisatorische Umsetzung einer Leitwarte im Rahmen der technischen Betriebsführung von Windenergieanlagen
Wirtschaft,Entwicklung eines interdisziplinären Windenergie Datenbanksystems zur Verknüpfung und intelligenten Auswertung unternehmensinterner sowie frei zugänglicher Daten unterschiedlicher Quellen und unterschiedlichen Datentyps
Wirtschaft,Potenzialberatung
Wirtschaft,Entwicklung eines teil-automatisierten Scoutingprozess um neue Trends zu identifizieren und bestehende Trends zu monitoren
Wirtschaft,Einführung des zertifizierten Verfahrens ITIL (Information Technology Infrastructure Library)
Wirtschaft,UX/UI Design Serviceplattform 4yourfinance
Wirtschaft,User Interface Design / Corporate Design / Markenstrategie
Wirtschaft,multi-Sensorsystem Akustik und KI
Wirtschaft,MOKE - Lesen von Magnettonspuren mit Hilfe des Magneto optischen Kerr-Effekts
Wirtschaft,Entwicklung eines digitalen Workshop-Konzept für Enduser im Bereich Produktion inkl. zugehörigen mobiler Applikation
Wirtschaft,WvSC - EA 2.0 Elektrische Antriebstechnik 2.0
Wirtschaft,Machine Learning Basierte Prognose von Verkäufen
Wirtschaft,Machine Learning basierte Vorhersage von Preiselastizitäten
Wirtschaft,Weiterentwicklung der Meditationstrainings-App
Kultur,Konzertreihe SALON OBLIQUE
Kultur,"Inside, Joy"
Kultur,Technisches Equipment
Kultur,SYNÄSTHESIE IV
Wirtschaft,Produktdesign für ein robustes smartphonebasiertes Auswertegerät für Schnelltestsysteme
Wirtschaft,Wissenschaftliche Untersuchung und Konstruktion eines spezifischen Analysegerätes zur Auswertung von Lateral-Flow-Assays für Schnelltestsysteme
Wirtschaft,layerJS Editor UI Konzept
Wirtschaft,Skalierbarer Data-Stack für KMU
Wirtschaft,Automatisierung und Erweiterung der Innenausstattungsplattform von 99chairs - automated 99chairs_51
Wirtschaft,Automatisierung und Erweiterung der Innenausstattungsplattform von 99chairs - automated 99chairs_52
Arbeit,Lohnkostenzuschuss für 99designs GmbH
Integration,Join in - Berufsbezogene Deutsch-Förderung für Geflüchtete
Arbeit,Ausbildung in Sicht: Deutsch & Berufsorientierung für junge MigrantInnen
Arbeit,Ausbildung in Sicht: Deutsch & Berufsorientierung für junge Neu-BerlinerInnen
Arbeit,FAV - Integrationslotsen zur Unterstützung von Integrationsaktivitäten
Arbeit,"FAV - Kunst-, Kultur-, Media- und Naturaktivitäten von Kindern"
Arbeit,FAV - Projekthelfer - Zusätzliche Angebote in der bezirklichen Projektarbeit
Arbeit,FAV - Projekthelfer in der Biologie-Station der Dathe-Oberschule
Arbeit,Gästeführer/Stadtführer
Arbeit,"Integrationslotsinnen/-en für Migrantinnen/-en, neu zugewanderte und geflüchtete Menschen"
Arbeit,Online Marketing & Social Media mit integrierter Deutsch-Förderung
Arbeit,Online-Marketing & Social Media mit integrierter Deutsch-Förderung
Arbeit,Schneidern & Mode-Design mit integrierter Deutsch-Förderung
Arbeit,Veranstaltungsmanagement mit integrierter Deutsch-Förderung
Arbeit,Vorbereitung auf Erzieherberufe mit integrierter Deutsch-Förderung
Arbeit,Erziehung & Soziales mit integrierter Deutsch-Förderung
Arbeit,Event-Management mit integrierter Deutsch-Förderung
Arbeit,Integrationslotsen zur Unterstützung von Integrationsaktivitäten
Arbeit,Join in - Berufsbezogene Deutsch-Förderung für Geflüchtete
Arbeit,"Kunst-, Kultur-, Medien- und Naturaktivitäten für Kinder"
Arbeit,Online-Marketing & Social Media mit integrierter Sprachförderung
Arbeit,Projekthelfer - Zusätzliche Angebote in der bezirklichen Projektarbeit
Arbeit,Projekthelfer in der Biologie-Station der Dathe-Oberschule
Arbeit,Schneidern & Modedesign mit integrierter Sprachförderung
Arbeit,Tourismus & Gaststättengewerbe mit integrierter Deutsch-Förderung
Kultur,dancing b(l)ack dada
Umwelt,Nachhaltig und Gesund - Interkulturelles Wasserprojekt im Donaukiez
Wirtschaft,"Der innovative Babysauger ""Lucky-Lulli"" soll entwickelt und zur Marktreife gebracht werden: Optimierung der Form, Materialtests, Produktionsverfahren (Zwei K Spritzguss) prüfen."
Arbeit,"Besondere Zielgruppen, insbesondere junge Flüchtlinge: Deutsch & Berufsorientierung"
Arbeit,Deutsch & Berufsorientierung für junge Geflüchtete
Arbeit,Deutsch & Berufsorientierung für junge MigrantInnen
Arbeit,Erziehung & Soziales + Deutsch
Arbeit,Event- und Kulturmanagement + Deutsch
Arbeit,Gastgewerbe & Tourismus + Deutsch
Arbeit,Heilberufe & Pflege + Deutsch
Arbeit,Online-Marketing & Social Media + Deutsch
Arbeit,"Besondere Zielgruppen, insbesondere junge Flüchtlinge: Deutsch & Berufsorientierung für junge Geflüchtete"
Arbeit,"Sprache, Orientierung und Ausbildung: Deutsch & Berufsorientierung für junge Migrant*innen"
Arbeit,"Sprache, Orientierung und Ausbildungsreife: Deutsch & Berufsorientierung für junge MigrantInnen"
Arbeit,"Kunst-, Kultur-, Media- und Naturaktivitäten von Kindern"
Arbeit,"Erziehung, Pflege & Soziales + Deutsch"
Arbeit,Ausbildungsreife und Schulabschluss: (Erweiterte) Berufsbildungsreife
Arbeit,"Sprache, Orientierung und Ausbildungsreife: Deutsch & Berufsorientierung für junge Migrant*innen"
Wirtschaft,Entwicklung eines Verfahrens zur Herstellung eisenhaltiger Proteinpartikel aus Hanfprotein
Arbeit,Landeszuschuss für KMU - Lohnkostenzuschuss für A.A.A. THILOS GmbH
Arbeit,Lohnkostenzuschuss für A.F.A.S. Security & Service GmbH
Wirtschaft,"Entwicklung neuer Systemanwendungen zur elektrotechnischen Gebäudebeheizung unter Berücksichtigung eines veränderten Strommixes aus ""grüner bzw. konventioneller (grauer) Energie"""
Wirtschaft,"Absichtserkennung, Sprachtrendanalyse & Generierung von Formulierungsvarianten"
Wirtschaft,"Entwicklung einer innovativen, Cloud-basierten Middleware für Sprachautomatisierung"
Wirtschaft,Aufbau einer innovativen Vertriebsplattform im Rahmen von Skalierungsinitiative
Wirtschaft,Entwicklung eines Reinforcement Learning Systems zur effizienteren Nutzung von Produktivdaten
Wirtschaft,Sprachmodelle und Self-Service-Tool
Wirtschaft,Einführung von Komposit-Dialogentwicklung
Wirtschaft,Übertragung der künstlichen Intelligenz auf weitere Sprachen
Wirtschaft,Evaluierung eines Markteintritts in Frankreich
Wirtschaft,Gestaltung und Einführung eines partizipativen Zielsetzungsmechanismus
Wirtschaft,Aaron Automatisierte Kundeninteraktion
Wirtschaft,Aaron Matchmaking Tool V1
Kultur,World at Noon
Kultur,World od noon
Kultur,Basisförderung Bildende Kunst
Wirtschaft,Kontinuierliche Dokumentation und Zertifizierung einer Software als Medizinprodukt und Sicherstellung der Konformität mit regulatorischen Anforderungen an eine Digitale Gesundheitsanwendung (DiGA)
Arbeit,girlsatec - Mädchen erobern technische Berufe
Arbeit,girlsatec- Mädchen erobern technische Berufe
Arbeit,Zusatzqualifikationen für digitale Kompetenzen in der Aus- und Weiterbildung
Arbeit,girlsatec - Junge Frauen erobern technische Berufe
Arbeit,girlsatec - Mädchen erobern technische Berufe (2015)
Arbeit,Teste Technik: Schraube an deiner beruflichen Zukunft 2016
Arbeit,Transferstelle Zusatzqualifikation digitale Kompetenzen für Auszubildende und Ausbildungspersonal
Wirtschaft,"Um- und Ausbau des ABB Aus- und Weiterbildungszentrums Berlin (Haus 14) in der Lessingstraße 79, in 13158 Berlin durch die ABB Ausbildungszentrum Berlin gGmbH"
Wirtschaft,"Ergänzende Ausstattung für das ABB Aus- und Weiterbildungszentrums Berlin; ABB Ausbildungszentrum Berlin gGmbH, Lessingstraße 79, 13158 Berlin"
Wirtschaft,"Ergänzende Ausstattung für das Aus- und Weiterbildungszentrums Berlin ABB Ausbildungszentrum Berlin gGmbH, Lessingstraße 89, 13158 Berlin"
Arbeit,Deutsch für den Beruf und Basisqualifikation in der Pflege
Arbeit,Nachträglicher Erwerb des Mittleren Schulabschlusses
Arbeit,Nachträglicher Erwerb des Mittleren Schulabschlusses für junge Mütter
Arbeit,Qualifizierung vor Beschäftigung - Deutsch für den Beruf und Basisqualifizierung
Arbeit,Qualifizierung vor Beschäftigung - Nachträglicher Erwerb des MSA
Arbeit,Qualifizierung vor Beschäftigung - Nachträglicher Erwerb des MSA für junge Mütter
Arbeit,Qualifizierung vor Beschäftigung - Nachträglicher Erwerb des MSA mit erhöhtem Betreuungsbedarf
Arbeit,Vorbereitung auf eine Ausbildung zum Sozialassistent / zur Sozialassistentin
Arbeit,Nachträglicher Erwerb des Mittleren Schulabschlusses für junge Mütter und Väter
Arbeit,Nachträglicher Erwerb des MSA
Arbeit,Vorbereitung auf eine Ausbildung zum Sozialassistenten/ zur Sozialassistentin
Arbeit,Nachträglicher Erwerb des MSA mit dem Schwerpunkt: Überwindung der Prüfungsangst
Arbeit,Nachträglicher Erwerb des MSA mit naturwissenschaftlicher Ausrichtung
Arbeit,Nachträglicher Erwerb des Mittleren Schulabschlusses für junge Geflüchtete
Arbeit,Nachträglicher Erwerb des Mittleren Schulabschlusses für junge Menschen mit Migrationshintergrund
Arbeit,Nachträglicher Erwerb des Mittleren Schulabschlusses für junge Mütter und Alleinerziehende
Arbeit,Nachträglicher Erwerb des Mittleren Schulabschlusses mit naturwissenschaftlicher Ausrichtung
Arbeit,Nachträglicher Erwerb des MSA für Geflüchtete
Arbeit,Basisqualifizierung für die Pflegemit dem Schwerpunkt Arbeit mit Demenzkranken
Jugend,"Treffpunkt, Beratungs- und Dokumentationsstelle für Menschen mit Heimerfahrung"
Wirtschaft,Untersuchungen zur Eignung von Ultraschall-Zerstäubung und Infrarot-Trocknung für das Trocknen von in Lösung befindlichen Mikroorganismen
Wirtschaft,"Organisation und Durchführung der Veranstaltung ""Loop 2017"""
Antidiskriminierung,ABqueer
Antidiskriminierung,Aufklärungs- und Bildungsarbeit zu LSBTIQ Lebensweisen
Integration,Sprachcafé
Wirtschaft,Technologietransfer zur effektiven Regenerierung von Schaltschiebern
Wirtschaft,Keramisierung von Zylinderbohrungen (Schaltschieber) im hydraulischen Steuersystem von verschlissenen Automatikgetrieben
Arbeit,absent friends e.V.
Wirtschaft,"Implementierung eines Template-Systems für Stellenanzeigen, welches die Abwicklung des Kernproduktes Stellenanzeige entscheidend vereinfacht"
Soziales,Sondermittel der BVV - Weihnachtsfeier 2019 ser Bezirksgruppe Spandau
Arbeit,Betreuungsassistent/-in (ABT-Kurs BEA-16.1)
Arbeit,Fachkraft für Sicherheitsdienstleistungen (ABT-Kurs SFK-16.1)
Arbeit,Fachkraft für Sicherheitsdienstleistungen (ABT-Kurs SFK-16.2)
Arbeit,Fachkraft für Sicherheitsdienstleistungen (ABT-Kurs SFK-16.3)
Arbeit,Pflege- und Betreuungsassistent/-in (ABT-Kurs AKP-16.1)
Arbeit,Qualifizierung vor Beschäftigung - Fachkraft für Sicherheitsdienstleistungen (ABT-Kurs SFK-15.2)
Arbeit,Sozialassistent/-in Familie - Schwerpunkt Kinderbetreuung und -pflege (ABT-Kurs KIB-16.1)
Arbeit,Sozialassistent/-in Familie - Schwerpunkt Kinderbetreuung und -pflege (ABT-Kurs KIB-16.2)
Arbeit,Assistent/-in für Kinderbetreuung und -pflege (ABT-Kurs KIB-17.2)
Arbeit,Assistent/-in für Kinderbetreuung und -pflege (KIB-17.1)
Arbeit,Betreuungsassistent/-in (ABT-Kurs BEA-16.2)
Arbeit,Betreuungsassistent/-in (BEA-17.1)
Arbeit,Fachkraft für Sicherheitsdienstleistungen (ABT-Kurs SFK-17.1)
Arbeit,Fachkraft für Sicherheitsdienstleistungen (ABT-Kurs SFK-17.2)
Arbeit,Fachkraft für Sicherheitsdienstleistungen (ABT-Kurs SFK-17.3)
Arbeit,Fachkraft für Sicherheitsdienstleistungen (ABT-Kurs SFK-17.4)
Arbeit,Pflege- und Betreuungsassistent/-in (ABT-Kurs AKP/BEA-17.2)
Arbeit,Pflege- und Betreuungsassistent/-in (ABT-Kurs AKP-17.1)
Arbeit,Assistent/-in für Kinderbetreuung und -pflege (ABT-Kurs KIB-18.1)
Arbeit,Assistent/-in für Kinderbetreuung und -pflege (ABT-Kurs KIB-18.2)
Arbeit,Assistent/-in für Kinderbetreuung und -pflege (ABT-Kurs KIB-18.3)
Arbeit,Fachkraft für Sicherheitsdienstleistungen (ABT-Kurs SFK-18.1)
Arbeit,Fachkraft für Sicherheitsdienstleistungen (ABT-Kurs SFK-18.2)
Arbeit,Fachkraft für Sicherheitsdienstleistungen (ABT-Kurs SFK-18.3)
Arbeit,Fachkraft für Sicherheitsdienstleistungen (ABT-Kurs SFK-18.4)
Arbeit,Pflege- und Betreuungsassistent/-in (ABT-Kurs AKP/BEA-18.1)
Arbeit,Pflege- und Betreuungsassistent/-in (ABT-Kurs AKP/BEA-18.2)
Arbeit,Assistent/-in für Kinderbetreuung und -pflege (ABT-Kurs KIB-19.1)
Arbeit,"Assistent/-in für Kinderbetreuung und -pflege (Erzieherhelfer/-in, ABT-Kurs KIB-19.2)"
Arbeit,Assistent/-in für Kinderbetreuung und -pflege / Erzieherhelfer/-in (ABT-Kurs KIB-19.3)
Arbeit,Assistent/-in für Kinderbetreuung und -pflege / Erzieherhelfer/-in (ABT-Kurs KIB-19.4)
Arbeit,Fachkraft für Wach- und Sicherheitsdienste (ABT-Kurs SFK-19.2)
Arbeit,Fachkraft für Wach- und Sicherheitsdienste (ABT-Kurs SFK-19.3)
Arbeit,Fachkraft für Wach- und Sicherheitsdienste (ABT-Kurs SFK-19.4)
Arbeit,Fachkraft für Wach- und Sicherheitsdienste (SFK-19.1)
Arbeit,Pflege- und Betreuungsassistent/-in (ABT-Kurs AKP/BEA-19.2)
Arbeit,Assistent/-in für Kinderbetreuung und -pflege / Erzieherhelfer/-in (ABT-Kurs KIB-20.1)
Arbeit,Assistent/-in für Kinderbetreuung und -pflege / Erzieherhelfer/-in (ABT-Kurs KIB-20.2)
Arbeit,"Assistent/-in für Pflege, Betreuung und Alltagsbegleitung (ABT-Kurs PBA/BEA-20.1)"
Arbeit,Fachkraft für Wach- und Sicherheitsdienste (ABT-Kurs SFK-20.1)
Arbeit,Fachkraft für Wach- und Sicherheitsdienste (ABT-Kurs SFK-20.2)
Arbeit,Fachkraft für Wach- und Sicherheitsdienste (ABT-Kurs SFK-20.3)
Arbeit,Fachkraft für Wach- und Sicherheitsdienste (ABT-Kurs SFK-20.4)
Bildung,Erfüllung der von der Einrichtung beantragten Anschubfinanzierung f. Gründung eines bezirkl. Alphabündnisses Berlin Marzahn-Hellersdorf
Arbeit,Ausbildung junger Erwachsener - Nachqualifizierung
Arbeit,BAPP-12: Verbund
Arbeit,BAPP-13: Verbund
Arbeit,Berliner JobCoaching - Berliner JobCoaching 2015
Arbeit,Berliner JobCoaching 2016
Arbeit,BVBO 2. 0 - Rudolf Virchow Schule 10. Klasse - M 4 -
Arbeit,BVBO 2.0 - 2016/2017 - Friedrich 10
Arbeit,BVBO 2.0 - 2016/2017 - Friedrich 8
Arbeit,BVBO 2.0 - 2016/2017 - Friedrich 9
Arbeit,BVBO 2.0 - 2016/2017 - Hecker 10
Arbeit,BVBO 2.0 - 2016/2017 - Hecker 8
Arbeit,BVBO 2.0 - 2016/2017 - Hecker 9
Arbeit,BVBO 2.0 - 2016/2017 - Kerschensteiner 9
Arbeit,BVBO 2.0 - 2016/2017 - Mozart 8
Arbeit,BVBO 2.0 - 2016/2017 - Mozart 9
Arbeit,BVBO 2.0 - 2016/2017 - Sartre 11
Arbeit,BVBO 2.0 - 2016/2017 - Virchow 10
Arbeit,BVBO 2.0 - 2016/2017 - Virchow 8
Arbeit,BVBO 2.0 - 2016/2017 - Virchow 9
Arbeit,BVBO 2.0 - 2016/2017 - Wachsmann 10
Arbeit,BVBO 2.0 - 2016/2017 - Wachsmann 9
Arbeit,BVBO 2.0 - Caspar David Friedrich Schule 10. Klasse - M 4 -
Arbeit,BVBO 2.0 - Caspar David Friedrich Schule 8. Klasse - M 1 -
Arbeit,BVBO 2.0 - Caspar David Friedrich Schule 9. Klasse - M 3 -
Arbeit,BVBO 2.0 - Kerschensteiner Schule 9. Klasse - m 3 -
Arbeit,BVBO 2.0 - Konrad-Wachsmann-Schule 10. Klasse
Arbeit,BVBO 2.0 - Konrad-Wachsmann-Schule 8. Klasse
Arbeit,BVBO 2.0 - Konrad-Wachsmann-Schule 9. Klasse
Arbeit,BVBO 2.0 - Rudolf Virchow Schule 10. Klasse - M 4 -
Arbeit,BVBO 2.0 - Rudolf Virchow Schule 8. Klasse - M 1 -
Arbeit,BVBO 2.0 - Rudolf Virchow Schule 9. Klasse - M 3 -
Arbeit,BVBO 2.0 - Wolfgang A. Mozart Schule 10. Klasse - M 4
Arbeit,BVBO 2.0 - Wolfgang A.-Mozart-Schule Klasse 9
Arbeit,BVBO 2.0 Hecker 10
Arbeit,BVBO 2.0.- 2016/2017 - Mozart 10
Arbeit,BVBO 2.0.- 2616/2017 - Kerschensteiner 10
Arbeit,Kerschensteiner 10 BVBO 2.0
Arbeit,L2 - BAPP 2014: Verbund
Arbeit,L2 - BAPP 2015: Verbund
Bildung,Praxislerngruppen
Integration,Fahrradkurs für geflüchtete Frauen zwecks Förderung ihrer Selbständigkeit und Stärkung ihres Selbstbewustseiens
Gleichstellung,Frauenladen - Projekt 7 - 01/07/2019 - 30/06/2020
Gleichstellung,Frauenladen - Projekt 8 - 01/01/2020 - 31/12/2020
